,C3_S1,C3_S3,C3_S5,C3_S7
OG0005425,0.54208496,1.06561779,17.44816103,9.241580599
OG0005426,4.403490095,1.452303382,1.134397721,1.01917994
OG0005428,5.016298026,4.955484035,5.474738185,7.30155901
OG0005429,27.39646593,12.4962377,18.02746173,23.95830228
OG0005431,31.95673077,37.75347111,36.14713551,33.49951003
OG0005432,51.7297069,75.86480579,60.72309186,53.79459048
OG0005433,12.06067351,7.860598863,1.118623952,0.126604316
OG0005434,17.07651811,13.72845838,8.299788975,8.759972209
OG0005435,4.975098293,7.411366421,8.094057168,8.803543096
OG0005436,5.906987845,4.503109539,3.195335688,4.41943159
OG0005439,4.090499742,5.044948986,3.036707316,4.495204118
OG0005440,18.03441234,20.06887967,17.81210515,24.61093158
OG0005441,26.1388761,28.85149828,16.01310448,8.596080697
OG0005442,15.79430035,15.88973888,31.73540031,67.77774874
OG0005443,62.29771141,41.34839957,39.97888529,38.58008435
OG0005444,9.070883877,1.892587119,0.718394227,0.119275631
OG0005445,48.45474412,66.53851596,68.63383602,79.55145064
OG0005446,126.7490136,171.256227,229.2338405,273.1669273
OG0005447,6.610996284,5.714157554,9.484414543,12.43426525
OG0005449,23.22430652,11.20193686,4.629024783,1.476788457
OG0005450,46.11028828,76.24875107,181.5566869,275.9222853
OG0005451,21.22549806,21.20892519,19.18182893,20.68793385
OG0005452,38.15778153,70.57596953,166.5818718,227.3669923
OG0005455,22.30571947,19.94060828,16.65698522,14.64889572
OG0005456,7.889824673,9.394333924,5.31166813,3.45182808
OG0005458,13.1715665,9.742098366,9.453997659,11.97982599
OG0005460,9.448671067,9.881988121,10.62803398,11.04685724
OG0005462,50.62615632,124.9941473,90.92662024,73.60803336
OG0005465,178.6715459,574.4453085,571.1827552,358.0991104
OG0005466,7.848912861,23.26709244,35.82025883,83.0832456
OG0005467,31.06048152,17.84132603,11.83974056,8.178675374
OG0005469,0.660609537,2.289020035,10.05750779,12.79569286
OG0005470,4.785254872,3.435626718,2.17628804,2.23235825
OG0005472,1.224031597,2.003854534,7.590734125,8.495161204
OG0005474,0.037711585,0.044635682,0.130513566,2.870493272
OG0005475,11.80526282,35.0225892,54.31528029,79.43738733
OG0005476,8.722366312,11.34287207,10.98113879,16.12436917
OG0005477,1.754203411,1.124303734,2.447427884,1.328863338
OG0005478,31.51011301,58.34803136,31.49824115,20.04818595
OG0005479,32.36896073,4.467465517,1.523059207,0.172782613
OG0005480,12.78282864,16.54280043,15.59264825,16.56575774
OG0005481,0.914285696,3.596529006,9.558378135,9.222052341
OG0005482,26.76730454,18.01279766,27.73500835,25.57984176
OG0005483,68.57042986,43.53731968,39.73112084,39.34931644
OG0005484,536.5864027,488.1962863,530.9021866,405.7486655
OG0005486,19.11124456,20.98993438,28.05926997,25.49855983
OG0005487,4.687894906,5.837038086,5.272640623,6.695703081
OG0005489,7.09786707,8.478700439,9.596690448,13.32738974
OG0005490,7.541927529,7.004627932,4.805388367,3.800236464
OG0005491,99.83988807,228.6956698,87.77884596,32.6082133
OG0005492,34.09978309,35.54593536,29.2927586,32.06631266
OG0005494,68.4843062,54.81231463,58.66241284,62.29342112
OG0005495,5.472743465,6.961449822,7.008034392,9.388785027
OG0005496,27.82143501,23.52627393,27.73744737,35.84196477
OG0005498,36.28740811,67.96130737,101.0155875,101.6843598
OG0005499,1.807624551,2.599136127,10.88896803,34.46757799
OG0005500,10.00026484,10.38711664,10.84224174,15.46138691
OG0005501,30.22808598,50.40279991,126.5188627,139.5771079
