,PK_S1,PK_S3,PK_S5,PK_S7
OG0000490,6.021067131,32.32453759,59.05769782,80.33854589
OG0000491,45.37415425,38.60926148,48.54112149,41.30266848
OG0000492,0.951963003,1.833639866,0.366842971,0.4184257
OG0000493,13.80518199,6.856086547,2.863419934,3.375455655
OG0000494,1.711521199,0.755507569,1.115205272,4.038850542
OG0000495,248.7406214,244.7729158,378.2027496,405.1539728
OG0000496,517.9509023,290.7201492,254.7857129,158.0518949
OG0000497,0.02525186,1.066695384,1.804093936,0.361973402
OG0000498,2.344138119,8.278343571,7.412698489,5.218074199
OG0000499,24.73608389,440.6746383,379.5795749,109.1659743
OG0000500,145.1447551,117.5822905,136.9314881,141.8618482
OG0000506,9.367416304,61.92411159,144.4694816,258.6828791
OG0000507,83.13634536,56.46126655,68.79717553,77.55824203
OG0000508,25.40727615,28.65810782,23.40604317,31.10845492
OG0000509,1040.176378,553.7807716,523.2653578,298.0771054
OG0000510,37.65579644,29.6429935,49.02699859,54.62888913
OG0000511,96.24499474,104.0673817,65.42765128,27.77446831
OG0000513,177.567972,133.5355824,110.1877129,135.4763104
OG0000514,2.212777356,3.776952781,14.94800817,69.87516354
OG0000516,111.5881802,441.8709959,1464.77148,2602.168295
OG0000517,3.397478092,2.307754346,2.018756295,2.354578272
OG0000519,30.28074587,16.20215801,12.624474,14.87351466
OG0000520,2.266916804,15.4015369,36.3919504,96.80376112
OG0000521,0.150995459,14.141107,26.7446123,44.5883156
OG0000522,20.46129372,23.62581412,44.18031944,54.54800215
OG0000523,0.765629952,7.065156089,4.162543583,3.097539368
OG0000526,46.6847714,27.96695071,72.34998203,80.69783546
OG0000530,3.801751746,3.862059984,3.090337626,3.425600845
OG0000531,0,0.442031285,0.21831243,1.577565417
OG0000532,833.7126633,578.6234858,573.1042548,363.1960764
OG0000536,37.71865994,34.6664912,30.53536484,38.03145779
OG0000537,0.186203163,8.216449132,52.9320224,50.28338526
OG0000538,49.03822364,59.95541901,72.15789107,84.03784655
OG0000539,11.22696936,88.45828163,103.3311376,33.43486687
OG0000540,1.169075922,2.821979535,1.444970566,0.944401354
OG0000541,0.933545119,4.134087557,8.337990532,19.96145384
OG0000544,15.26903774,16.04545653,15.16465815,19.63628008
OG0000545,1.390571943,0.964640917,5.794525002,9.028865325
OG0000546,21.9506121,85.97955714,171.5573373,349.2170377
OG0000547,284.8416821,95.3067001,8.947565822,0.782261943
OG0000548,59.53181737,53.71177266,68.83385009,75.8033791
OG0000549,7.965112526,11.30334131,3.262878512,2.628110568
OG0000550,45.358184,62.64851894,154.6415577,258.5766451
OG0000551,1.074620901,2.396590573,1.593372423,1.618901697
OG0000552,6.886927648,176.4353542,427.4378747,247.0317098
OG0000555,9.460592983,7.762337186,9.363262989,10.73979437
OG0000556,9.493235094,17.81639637,105.283167,233.7153185
OG0000557,68.30576313,66.64117802,56.59638758,57.51925991
OG0000558,500.26991,347.5852207,363.4536405,321.8698649
OG0000560,142.8970995,132.834304,138.5355409,119.292396
OG0000561,0.263552423,7.569255033,19.25027095,21.25854659
OG0000563,49.70502315,174.6502163,130.266043,83.83056759
OG0000564,54.864877,25.37935449,36.57508687,41.13704611
OG0000569,39.83114547,102.7494182,209.6045352,203.0713141
OG0000570,9.732759501,106.9206614,1023.735889,224.7652268
OG0000571,13.76463949,3.74222832,1.265768738,0.165468951
OG0000572,0.820757904,15.34088429,27.43796409,23.073089
OG0000574,30.75027078,76.20490912,289.6869523,556.5468581
OG0000575,288.770315,1268.4375,849.9632502,581.6867378
OG0000577,5.191277433,5.993165572,22.24962663,47.82078438
OG0000578,0.738796326,2.601226578,4.665825195,7.89498914
OG0000579,6.491616959,31.57683057,144.3242886,391.5342875
OG0000580,14.24735685,90.22782205,203.8356003,461.8666725
OG0000581,130.5945244,495.3159251,319.8543895,297.6330573
OG0000582,115.232767,151.4253193,146.8698412,170.7547824
OG0000583,30.44918838,21.48099009,20.97106466,23.79465013
OG0000584,79.48547339,120.1420415,151.3059313,156.1714937
OG0000586,0.13003027,5.76762426,3.569886921,0.310524028
OG0000587,6.032511106,1.960171499,0.397326579,0.085277237
OG0000588,41.98224429,146.9199733,76.89960008,106.1798766
OG0000589,68.52150502,53.41677246,71.00708971,66.02870675
OG0000590,143.5427251,237.087228,251.8535943,55.79244627
OG0000591,1.919059563,3.756288944,3.347873624,5.081802801
OG0000592,0.199198376,0.672635119,1.844646464,2.810633725
OG0000594,828.1002249,466.6557382,474.6056659,274.8592477
OG0000595,1.68169292,5.160773034,1.397523264,0.268335276
OG0000596,28.98734071,27.56791064,40.54124535,40.42790735
OG0000597,823.2656663,555.3789945,662.4427907,415.2083802
OG0000598,14.21829141,14.50407747,18.18815477,30.55338435
OG0000599,191.983475,104.6840707,77.50438472,60.92605944
OG0000600,93.58040804,37.48172588,50.07845524,68.56112365
OG0000601,10.77553742,32.7169029,33.56970838,34.19771057
OG0000609,0,0.099399851,0,0.313953715
OG0000610,2.127813131,7.597829255,5.771786279,2.147873029
OG0000611,78.54580093,230.0632897,577.2241008,798.555882
OG0000612,3.223227109,2.832977957,3.507316086,11.1910987
OG0000614,40.97150438,42.15304927,85.24560469,91.21805338
OG0000616,0.840736341,0.44026196,0.893038871,2.214647929
OG0000619,23.82349935,25.06762426,17.52722285,8.925880139
OG0000620,67.18250917,44.77574231,58.71283446,64.05566433
OG0000622,693.0020282,246.6018146,213.9493061,206.7136299
OG0000623,1.21441402,0.571481505,0.212437436,0
OG0000624,23.16757935,34.87325039,16.35161874,15.79012072
OG0000626,26.47114339,101.6413716,125.4116408,104.2345291
OG0000627,1.957984193,2.437516863,1.762813562,1.612575258
OG0000628,2.072185233,12.00493771,34.61978161,38.47045534
OG0000629,1.390238643,6.130960866,12.86099681,32.31683597
OG0000630,10.07593002,68.53305545,9.369772708,0.498080042
OG0000631,51.25434105,32.76210418,34.62811349,25.00096295
OG0000632,3.859766272,779.7609805,594.0656252,274.1520606
OG0000633,1.019223843,3.71954379,13.98585181,7.01866953
OG0000634,2.159077378,12.83562628,28.15589228,24.25085156
OG0000635,98.68563187,85.30223545,95.72495898,106.9130163
OG0000636,550.9628448,332.1247689,278.8300752,203.7223998
OG0000638,1.097120896,1.696779465,0.47544226,0.509547935
OG0000639,0.272587601,18.59519675,26.72060069,5.320397274
OG0000640,43.40284627,24.34028779,25.41480932,27.73016011
OG0000643,3259.413626,786.0058453,734.8757434,770.7307242
OG0000644,69.34447195,81.88524508,54.43889702,90.52660256
OG0000646,6.746417558,4.068201088,4.336452803,3.214501757
OG0000649,93.06871607,34.38419609,21.28712581,20.58082654
OG0000650,160.075167,84.3765078,86.47720825,89.81593863
OG0000651,273.9520476,469.1579174,712.1099917,727.9896482
OG0000652,43.02762167,35.79500826,60.35475518,77.58696048
OG0000653,11.68848925,8.281180541,11.89453155,11.69166879
OG0000659,0.076772068,1.130918261,1.236850712,0.152003777
OG0000660,10.48375477,26.01773748,24.50727309,33.2514211
OG0000661,999.4042714,506.3306768,529.6709491,528.0135988
OG0000662,1.787642674,0.510315706,0.145521826,0.045074028
OG0000665,101.5238125,176.4449246,194.3195425,176.0826564
OG0000671,34.61843239,29.81015521,35.72858644,28.31517243
OG0000673,37.98287225,7.997331294,4.933401034,0.95977523
OG0000674,34.73720668,61.51778859,55.05184413,60.65856039
OG0000675,0.055250442,0.065711982,0.070054745,0
OG0000677,4.213338882,4.89182763,12.1809025,18.88574924
OG0000678,354.5899151,285.7661359,287.5006584,195.7623951
OG0000679,18.75654024,27.16321893,24.65802743,12.51102153
OG0000680,11.91196187,221.0928101,337.1481496,84.73594253
OG0000681,11.93322051,5.102346935,6.15879046,6.758313907
OG0000682,4.539530042,2.167028152,4.165721831,8.005646062
OG0000684,884.3736098,680.2663848,630.1442366,387.3881346
OG0000686,39.41587029,78.28145842,48.26090104,41.24656387
OG0000687,12.88474257,11.47084541,5.362523803,3.02243673
OG0000688,54.70087735,19.34475468,24.13680692,28.48135256
OG0000689,8.672088659,12.16762044,114.7225616,149.8665582
OG0000690,0.258238312,0.158189285,0.123931135,0.077064546
OG0000691,5.138965425,15.14169583,12.88150568,12.69040904
OG0000692,38.36606367,20.20261085,12.83963405,11.71922278
OG0000693,1.511840999,1.156080497,1.384700242,1.017599794
OG0000694,14.57344452,12.71835059,14.15630899,11.56256907
OG0000695,22.05180085,13.2635496,22.04423309,19.26953542
OG0000696,77.63584138,137.7836983,123.0230493,196.5553082
OG0000697,57.07075799,38.39708878,33.0500867,51.74771457
OG0000698,51.77638089,39.78857268,29.68266454,21.36587963
OG0000699,0.004212667,0.120395846,0.168375751,2.82182394
OG0000700,2.176928589,364.993422,25.4457513,4.921995964
OG0000702,30.99901286,32.34908634,30.65218371,47.93688548
OG0000704,0.734993034,4.412135425,3.822274751,6.98556094
OG0000705,33.43489379,54.43836731,77.51481283,98.5049251
OG0000706,28.5444764,40.80227165,49.34659713,59.76525122
OG0000707,97.02636784,75.12857153,81.57201553,89.17844851
OG0000708,89.12954937,8.433775177,2.83103899,1.042633934
OG0000709,75.8671748,57.65779517,40.97460976,32.91982926
OG0000710,82.98416361,69.48470638,51.3270927,69.89902701
OG0000711,141.5278733,63.74698945,58.38208353,77.74721252
OG0000715,7.639689941,6.025467954,22.47189119,39.42444926
OG0000716,4.500762511,7.684261729,20.83152586,45.81144813
OG0000720,75.11007371,55.72728191,45.34415407,52.92222636
OG0000721,5.2923474,4.786302046,3.952515924,4.138034573
OG0000722,640.6388537,999.7213848,1066.864648,574.1796451
OG0000723,257.3264568,77.96659596,145.2952115,124.3713826
OG0000724,15.88670716,29.5522887,46.03265839,80.51000131
OG0000725,10.69711832,60.08791799,63.03930504,110.2072289
OG0000726,14.11815332,40.85286241,35.5256273,30.39985529
OG0000727,550.0535681,304.8820378,391.9352192,352.2367693
OG0000728,75.43161568,99.15255019,62.37140668,33.70401398
OG0000729,85.03916217,15.85154042,2.346019546,0.852169677
